Brunt-Väisälä Frequency,Mid-Pressure
-7.069722733603307e-05,11.53
0.00014969108153863807,13.559999999999999
8.242156076388361e-05,17.3
5.214458301830389e-05,21.799999999999997
1.8414882925461567e-05,26.595
2.4362698480776813e-05,31.58
1.5018738477710714e-05,36.565
2.4071608694016256e-05,41.58
9.588501632430493e-06,46.565
-5.012449237193568e-06,51.545
1.496104945071987e-05,56.565
5.729122702376711e-07,61.565000000000005
5.731123048270576e-07,66.54
5.733139502839045e-07,71.555
5.735168045647596e-07,76.6
5.737176509599031e-07,81.595
6.154727090550228e-06,86.56
1.4987582086057315e-05,91.58
5.740389420018895e-07,96.615
2.5338384937818505e-05,101.60499999999999
3.057989360849007e-05,106.58
3.09623357282503e-05,111.57
0.00015534872778522548,116.61
0.0005569306348947842,121.39
0.00020945615803903036,125.845
0.00011211849291766514,130.57
0.00013422290242554572,135.57
0.0001841027345382093,140.59
9.43479638672147e-05,145.585
7.430180788239955e-05,150.585
0.00014167971421702433,155.57
0.0001189691758990345,160.55
7.314790566781545e-05,165.605
4.152091712405252e-05,170.595
5.4798810468053895e-05,175.57
-5.811445613958942e-07,180.59
3.3428002674747745e-05,185.56
5.705742687123675e-06,190.53
8.921197824074446e-05,195.55
2.3281002590774908e-05,200.575
3.803586550282958e-05,205.55
4.983325000147778e-05,210.53500000000003
3.831924248565973e-06,215.555
4.549565103079371e-06,220.55
8.683418337809781e-05,225.595
1.3958206024973394e-05,230.615
-1.0921219418876551e-06,235.615
3.423225668052824e-05,240.60500000000002
-3.0713287804029276e-06,245.57
6.188939981408576e-05,250.57
5.414411216826754e-05,255.57
-1.5108670519947076e-05,260.35
2.385272780242673e-05,264.855
2.1297519147659397e-05,269.55999999999995
1.942864659604518e-05,274.54999999999995
-6.259684349670589e-06,279.57
2.4327776775007658e-05,284.57
2.7617023331938334e-05,289.54999999999995
1.5657069652431809e-06,294.54499999999996
3.417947675402815e-05,299.56
2.6792630471073484e-05,304.55
2.665791971908547e-05,309.525
1.5449529417872204e-07,314.54499999999996
3.3296911335608474e-05,319.59000000000003
-9.985507617977398e-08,324.565
1.4564594719666481e-05,329.54499999999996
1.125373258180566e-05,334.54499999999996
6.77334466325625e-06,339.58
1.0956372486592638e-05,344.58
1.4068627004172327e-05,349.565
2.5215528047690905e-05,354.57000000000005
2.171885990531067e-05,359.54
-4.523035082314916e-06,364.545
1.7889390122787364e-05,369.57
1.0303780376262525e-05,374.565
-9.121119270749726e-06,379.525
6.99324490432891e-05,384.56
-8.603171690925763e-06,389.61
7.247021516156003e-06,394.59000000000003
-1.659711404829195e-05,399.575
4.771994892208365e-05,404.57
1.134856311114573e-05,409.605
1.6054815025829353e-05,414.64
1.3967525290297088e-05,419.6
-5.315063374368274e-07,424.58500000000004
5.089300918716453e-05,429.58500000000004
5.339193932790641e-06,434.56
1.5220918235454208e-05,439.55
2.5123759074807825e-05,444.53499999999997
1.3113671307989604e-05,449.57
1.3019424359382862e-05,454.61
2.245349521743273e-05,459.59000000000003
-1.7981619525643563e-06,464.605
2.511755891107127e-05,469.6
-2.0870004802493098e-05,474.58500000000004
3.189555166377223e-05,479.62
4.197340178874314e-05,484.61
4.946874404756582e-06,489.585
2.2945581274119798e-05,494.575
1.3178837483152217e-05,499.57
7.151421638859575e-07,504.54999999999995
-2.409475138771389e-06,509.53499999999997
2.1319646530696778e-05,514.55
-2.437737317641932e-06,519.5699999999999
9.632456145724414e-07,524.58
4.5614758792170556e-05,529.575
1.8779137609342474e-05,534.5550000000001
2.114235805574152e-05,539.55
1.2285312701454969e-05,544.56
7.132503429885571e-08,549.54
-1.2279018089238046e-07,554.5550000000001
1.2058813275664106e-05,559.565
8.706011243778687e-06,564.56
3.8308160826495526e-05,569.565
1.7219579603219087e-05,574.545
-1.2256571675966478e-05,579.585
1.7747070105375418e-05,584.595
1.934831596164318e-05,589.5699999999999
7.857942541274573e-06,594.6
4.992234878843224e-06,599.585
2.5400863374685266e-05,604.5699999999999
1.034308723735782e-05,609.575
-9.514642193404295e-07,614.57
1.9664307217318334e-05,619.56
-1.8862546548152283e-05,624.55
1.2558511426182556e-05,629.5699999999999
3.449856826758956e-05,634.58
-1.3498860270790168e-05,639.585
2.8418720911548947e-05,644.6
2.463261072700982e-05,649.565
-1.5706673745778009e-06,654.53
3.589871974254978e-05,659.5699999999999
2.3983652996737416e-05,664.605
-7.0088795762053635e-06,669.61
-1.8280309609805192e-06,674.585
7.90893920967532e-06,679.575
1.3413906211115652e-05,684.56
6.904118950620666e-07,689.52
2.7081855132267626e-06,694.53
5.308096528513222e-06,699.545
-9.757005124051177e-06,704.55
7.825585867796719e-06,709.575
1.3167028626889773e-05,714.5799999999999
3.331134320501703e-05,719.555
8.135671638277755e-06,724.545
7.790835999132386e-06,729.535
2.8189303164699056e-06,734.56
1.0317717234486829e-05,739.575
1.031293891225166e-05,744.54
7.551389533392758e-06,749.565
-2.4037778122517405e-06,754.59
1.0154103890141303e-05,759.57
7.672328979989428e-06,764.5550000000001
2.510385733105096e-05,769.55
-4.9628451399850626e-06,774.5799999999999
5.169720609648927e-06,779.56
7.52590992623211e-06,784.535
2.7284523968978897e-05,789.5799999999999
7.609029268578409e-06,794.585
-1.0065298721607105e-05,799.555
-1.5081779484154893e-05,804.535
4.002096185578137e-05,809.53
-7.625297985405582e-06,814.53
1.7491878922841408e-05,819.5450000000001
-5.149214097749661e-06,824.57
1.484865772524538e-05,829.565
7.38078787449611e-06,834.5799999999999
2.57569508261541e-06,839.5699999999999
1.2226636846636713e-05,844.5550000000001
1.4595205416660403e-05,849.585
-1.5218239117759131e-05,854.565
9.737578189650182e-06,859.545
7.883436645690503e-06,864.575
3.0517115419449684e-06,869.565
7.309885319284942e-06,874.5799999999999
3.282396695502792e-05,879.575
-7.698230095937363e-06,884.54
7.892605472275261e-06,889.56
6.442762039782603e-05,894.585
-5.3975438049865564e-05,899.59
1.2146256335137883e-05,904.565
1.4242557322827731e-05,909.5799999999999
2.4922022371336156e-06,914.595
2.487586240027825e-06,919.5699999999999
1.9773956521450366e-05,924.585
7.286929690928255e-06,929.59
1.7551607560245774e-05,934.575
4.904753346404409e-06,939.55
1.5240836598533835e-05,944.515
-1.0183048882672304e-05,949.53
1.7655531334921017e-05,954.54
2.457916267010253e-06,959.545
4.817419656245328e-06,964.575
2.0035865238006317e-05,969.58
4.829304294588793e-06,974.575
1.75114237990555e-05,979.59
2.5010120613384895e-06,984.565
4.7990000706129e-06,989.55
4.851672193081206e-06,994.56
1.7473831443727083e-05,999.565
1.757868842521897e-05,1004.58
-1.5170335164274422e-05,1009.5550000000001
1.733913284479929e-05,1014.565
9.550054960423796e-06,1019.605
2.022103229878221e-05,1024.575
-2.2844164348871482e-06,1029.525
-2.2415016384587063e-06,1034.545
1.5118510545922487e-05,1039.5949999999998
2.510773048639414e-06,1044.57
1.7342759477593175e-05,1049.565
2.482686941575913e-06,1054.59
2.4829096042008053e-06,1059.57
1.748055748537783e-05,1064.5749999999998
2.493530731464621e-06,1069.57
1.9843133654695587e-05,1074.565
2.4922253141175603e-06,1079.56
9.67246373816554e-08,1084.545
-2.2793460017701463e-06,1089.5549999999998
1.7554863515214172e-05,1094.565
9.733205640636687e-08,1099.57
1.5296528579062458e-05,1104.5549999999998
1.5204914946773461e-05,1109.54
-2.244621971515413e-06,1114.595
9.834741077000542e-08,1119.63
9.853666369060317e-08,1124.61
9.872548376071875e-08,1129.5749999999998
9.891539227647289e-08,1134.565
9.910562946018735e-08,1139.56
1.5111134642239013e-05,1144.545
2.4913040958771334e-06,1149.58
1.5384010209434908e-05,1154.57
-2.2829118706493624e-06,1159.5749999999998
1.5413768123449703e-05,1164.5749999999998
1.0037026009661629e-07,1169.55
1.0056210922505349e-07,1174.56
1.007546712697447e-07,1179.585
1.0094718020624509e-07,1184.605
1.0113809981184229e-07,1189.58
1.271070596492934e-05,1194.57
-2.357690647224785e-06,1199.56
1.0210831236792439e-07,1204.5349999999999
1.2597593797006086e-05,1209.56
1.0271388048667209e-07,1214.585
1.7822546388259957e-05,1219.5549999999998
1.029607911218779e-07,1224.5549999999998
1.0315440235205994e-07,1229.565
1.2732711474547332e-05,1234.55
1.2727128149622755e-05,1239.55
1.0417263605897482e-07,1244.5549999999998
-2.323015534282995e-06,1249.605
1.2892572111271414e-05,1254.615
-2.3702057867952206e-06,1259.585
1.0552838905611752e-07,1264.56
1.2575361061514365e-05,1269.5549999999998
-2.410863633047722e-06,1274.5549999999998
1.5096089969296545e-05,1279.545
-2.417464687909239e-06,1284.5349999999999
-2.3714242746839135e-06,1289.5349999999999
1.2625793462800328e-05,1294.57
1.0791989935693906e-07,1299.56
1.0811734119836956e-07,1304.5900000000001
-2.4707324188038584e-06,1309.58
1.2609661618334062e-05,1314.53
1.2529916509060354e-05,1319.565
-2.416572396467867e-06,1324.5949999999998
1.2795713849536987e-05,1329.57
-2.40481999090455e-06,1334.565
1.5238493340340353e-05,1339.58
-2.4062589867139495e-06,1344.6
1.280226273943931e-05,1349.595
1.2495270168125017e-05,1354.585
-2.4646383037264568e-06,1359.5949999999998
1.125546356516029e-07,1364.5549999999998
1.1275298552714284e-07,1369.54
1.0030306351462024e-05,1374.55
1.1356044253498287e-07,1379.5549999999998
1.2444490476111465e-05,1384.59
1.276409208962262e-05,1389.585
1.1461143148877498e-07,1394.5749999999998
-2.5184850181355784e-06,1399.56
1.1519459395059728e-07,1404.5349999999999
1.1539664430428126e-07,1409.5749999999998
1.1559842180934016e-07,1414.605
1.5228703997235564e-05,1419.6
1.1604148538661069e-07,1424.6
1.1624286178797256e-07,1429.61
1.265720804680536e-05,1434.59
1.1686991501725066e-07,1439.5549999999998
1.1707156909442448e-07,1444.56
1.1727375200707029e-07,1449.5749999999998
1.1747525365547097e-07,1454.57
1.2320836347872433e-05,1459.615
-5.2475327210370456e-06,1464.6100000000001
1.2527764115891809e-05,1469.56
-2.5253503107616185e-06,1474.5549999999998
-2.534556405591962e-06,1479.54
1.4836723773581776e-05,1484.585
1.2013642429100872e-07,1489.605
1.2033905088191498e-07,1494.59
-2.5344308258632373e-06,1499.61
1.5371946056502227e-05,1504.5749999999998
-2.5196295251353256e-06,1509.56
1.2156887461536347e-07,1514.565
-2.5520129984848427e-06,1519.545
1.231226691809442e-05,1524.5749999999998
1.2259941786244943e-07,1529.5749999999998
1.2280398261219257e-07,1534.5749999999998
9.865672793294237e-06,1539.59
1.236315717771542e-07,1544.56
1.2511351428002002e-05,1549.54
-2.544604535550956e-06,1554.5549999999998
1.247615387049459e-05,1559.5749999999998
1.251042753725468e-07,1564.565
-2.608764852527977e-06,1569.5349999999999
1.2570410896502728e-07,1574.54
1.2591171357475385e-07,1579.5749999999998
1.2582537228934045e-05,1584.55
1.2655599843549712e-07,1589.56
-2.5901892007735312e-06,1594.605
1.2716042983686511e-07,1599.5949999999998
1.5057089915819363e-05,1604.5949999999998
-1.4981674825252347e-05,1609.5949999999998
1.5266869787700654e-05,1614.56
1.2803100185916944e-07,1619.5749999999998
1.2823841725605064e-07,1624.5749999999998
1.284459500482642e-07,1629.5749999999998
1.52956847081129e-05,1634.585
1.2890424236912177e-07,1639.57
-2.5912842903153127e-06,1644.605
1.2951234039010848e-07,1649.6100000000001
9.631060063491434e-06,1654.59
-2.663826293427946e-06,1659.56
1.3075250983336281e-07,1664.5900000000001
1.529152827815326e-05,1669.625
1.3121352173298288e-07,1674.59
1.3142214860182978e-07,1679.58
1.3160913317880125e-07,1684.05
1.2313165832071752e-05,1688.53
1.3223174404373198e-07,1693.31
1.3240923982313457e-07,1697.545
1.3258618819530644e-07,1701.7649999999999
1.7992777829129905e-05,1706.51
-2.643109723507166e-06,1711.51
1.3324881155204836e-07,1716.5149999999999
1.3345955993847687e-07,1721.53
3.210350636520542e-06,1726.32
1.3365751256645217e-07,1730.8049999999998
2.918463802160879e-06,1735.53
1.7824376017290225e-05,1740.5549999999998
2.9195351995196908e-06,1745.58
1.3395590847153726e-07,1750.55
2.916658905923729e-06,1755.525
1.3418429069925955e-07,1760.53
